class,cad_probs_10,cad_probs_50,cad_probs_5000,cads_avg,n_epochs
OGLE-I,0.0,0.0571428571429,0.814285714286,6.61090114286,71
OGLE-III,0.0,0.0,0.505494505495,8.06564021978,92
LINEAR,0.0,0.782608695652,0.797101449275,10.4202027826,70
OGLE-III,0.0,0.0,0.210526315789,15.3253215789,20
Stripe82,0.0,0.0,0.181818181818,103.814477,12
SuperWASP,0.822314049587,0.971074380165,0.993801652893,0.126035082645,485
SuperWASP,0.833333333333,0.98,1.0,0.0207227999996,151
Stripe82,0.0,0.0,0.266666666667,60.8676303667,31
OGLE-III,0.0,0.016,0.992,0.46746892,251
ASAS,0.00961538461538,0.0576923076923,0.634615384615,4.61338153846,105
SuperWASP,0.927536231884,0.95652173913,1.0,0.054986666672,70
OGLE-III,0.00478468899522,0.00956937799043,0.636363636364,6.90932703349,210
OGLE-III,0.0,0.0,0.567567567568,5.4311927027,75
Hipparcos,0.0,0.375,0.75,10.5263775,41
OGLE-III,0.0,0.0,0.838235294118,2.37886705882,69
LINEAR,0.0,0.714285714286,0.72619047619,14.6042284048,85
Hipparcos,0.0,0.428571428571,0.971428571429,1.213608,36
ASAS,0.0,0.0,0.230769230769,8.8977574359,40
SuperWASP,0.972277227723,0.984158415842,1.0,0.0157783168313,506
Hipparcos,0.0,0.45,0.8,10.8591175,41
OGLE-III,0.0,0.00609756097561,0.737804878049,5.02845338415,329
Kepler,0.0,0.991578947368,1.0,0.0210118634037,4276
LINEAR,0.0,0.710526315789,0.763157894737,7.29287507895,39
Kepler,0.0,0.970149253731,1.0,0.021044377597,68
Kepler,0.0,1.0,1.0,0.0204345437895,39
OGLE-I,0.0,0.047619047619,0.833333333333,2.85150595238,43
Kepler,0.0,1.0,1.0,0.0204344843623,70
OGLE-III,0.0,0.0392156862745,1.0,0.420759117647,103
SuperWASP,0.794871794872,0.974358974359,1.0,0.0254366666628,40
SuperWASP,0.927536231884,0.985507246377,1.0,0.0125265217359,70
ASAS,0.0845070422535,0.253521126761,0.929577464789,1.88466816901,72
OGLE-I,0.0,0.111111111111,0.666666666667,5.21888111111,19
LINEAR,0.0,0.736842105263,0.789473684211,7.02979460526,39
OGLE-III,0.0,0.00645161290323,0.625806451613,4.84523,156
ASAS,0.0,0.0,0.570652173913,10.1195297283,185
OGLE-I,0.0,0.0,0.794117647059,3.40233823529,35
SuperWASP,0.485074626866,0.746268656716,0.873134328358,3.74493731343,135
Hipparcos,0.0,0.421052631579,1.0,0.145033157895,20
OGLE-III,0.0,0.00438596491228,0.671052631579,4.28983666667,229
ASAS,0.00980392156863,0.0392156862745,0.754901960784,4.71377794118,103
Stripe82,0.0,0.0,0.266666666667,48.8004949333,16
SuperWASP,0.89898989899,0.989898989899,1.0,0.0105281818207,100
Hipparcos,0.0,0.486486486486,0.783783783784,15.2158013514,38
Hipparcos,0.0,0.47619047619,0.809523809524,8.70107238095,22
LINEAR,0.0232558139535,0.796511627907,0.862403100775,3.82517941085,517
SuperWASP,0.703561116458,0.980750721848,0.998075072185,0.0356514244466,1040
LINEAR,0.0,0.762376237624,0.772277227723,8.54277381188,102
Hipparcos,0.0,0.421052631579,0.736842105263,7.52581842105,20
Stripe82,0.0,0.0,0.368421052632,84.1450278947,20
LINEAR,0.0,0.777173913043,0.798913043478,10.3199638533,185
Stripe82,0.0,0.0625,0.5625,21.4360513125,17
OGLE-III,0.0,0.0,0.461538461538,8.51467,40
Hipparcos,0.0,0.44,0.84,8.89343066667,76
ASAS,0.0,0.0,0.567164179104,4.59934164179,68
OGLE-I,0.0,0.435897435897,0.871794871795,2.17666794872,40
Hipparcos,0.0,0.47619047619,0.761904761905,16.6951828571,22
OGLE-I,0.0,0.0,0.785714285714,8.32923809524,43
LINEAR,0.0,0.784615384615,0.784615384615,11.6766231385,66
SuperWASP,0.677852348993,0.959731543624,1.0,0.0329787248321,150
SuperWASP,0.948616600791,0.98418972332,1.0,0.0156574308313,254
LINEAR,0.0,0.771428571429,0.771428571429,14.0184587714,106
OGLE-III,0.0,0.0,0.157894736842,14.9526110526,20
Hipparcos,0.0,0.388888888889,0.638888888889,20.2855016667,37
ASAS,0.0,0.0869565217391,0.927536231884,3.19372043478,70
LINEAR,0.0,0.733333333333,0.733333333333,10.6012542167,61
LINEAR,0.0,0.780487804878,0.780487804878,5.51811029268,42
Kepler,0.0,1.0,1.0,0.0204340958116,70
Hipparcos,0.0,0.436363636364,0.763636363636,11.5198281818,56
SuperWASP,0.894117647059,0.986274509804,1.0,0.0176008627458,511
LINEAR,0.0,0.684210526316,0.719298245614,25.4568595263,58
SuperWASP,0.944,0.964,1.0,0.0235517999995,251
SuperWASP,0.803680981595,0.9836400818,0.997955010225,0.0282797137007,490
Hipparcos,0.0,0.457142857143,0.828571428571,4.20272714286,36
LINEAR,0.0,0.75,0.8,5.2385296,21
LINEAR,0.0,0.763513513514,0.783783783784,8.01259062838,149
Stripe82,0.0,0.0,0.176470588235,67.3527524118,18
LINEAR,0.0,0.752212389381,0.805309734513,6.78646242478,114
ASAS,0.0142857142857,0.114285714286,0.9,10.271611,71
Stripe82,0.0,0.0,0.470588235294,21.6459235882,18
ASAS,0.0891089108911,0.148514851485,0.594059405941,5.36385653465,102
OGLE-III,0.0,0.0,0.631578947368,3.51766105263,20
SuperWASP,0.856557377049,0.97131147541,0.995901639344,0.582262028689,489
Kepler,0.0,1.0,1.0,0.0204336501538,40
OGLE-III,0.0,0.00423728813559,0.673728813559,4.25833618644,237
SuperWASP,0.96,0.97,1.0,0.0277515000012,101
Hipparcos,0.0,0.435897435897,0.769230769231,8.35631435897,40
LINEAR,0.0,0.627906976744,0.651162790698,13.3660929535,44
ASAS,0.0,0.0,0.684210526316,3.36378315789,20
ASAS,0.0344827586207,0.227586206897,0.765517241379,5.49545524138,146
OGLE-III,0.0,0.0571428571429,1.0,0.390273714286,106
ASAS,0.0,0.0,0.6,3.7937625,21
Kepler,0.0,0.991507430998,1.0,0.0206079705393,472
SuperWASP,0.655405405405,0.986486486486,0.993243243243,0.0954123648651,149
OGLE-I,0.0,0.0294117647059,0.794117647059,8.24318676471,35
OGLE-III,0.0,0.0,0.555555555556,6.07399566667,91
ASAS,0.378787878788,0.476515151515,0.865151515152,2.39144512121,1321
OGLE-I,0.0,0.0338983050847,0.796610169492,7.65980728814,60
Stripe82,0.0,0.0,0.705882352941,3.11742729412,18
OGLE-III,0.0,0.0,0.48,7.572181,151
SuperWASP,0.960576923077,0.979807692308,0.999038461538,0.0201554519232,1041
Hipparcos,0.0,0.444444444444,0.944444444444,0.241957777778,19
OGLE-III,0.0,0.0,0.717948717949,3.37955564103,40
Stripe82,0.0,0.0,0.37037037037,42.407288963,28
ASAS,0.0,0.00952380952381,0.52380952381,6.02948295238,106
LINEAR,0.0402684563758,0.798657718121,0.865771812081,2.94542973826,299
ASAS,0.0,0.222222222222,0.747474747475,7.00053252525,100
ASAS,0.0,0.0,0.555555555556,6.49954777778,73
LINEAR,0.131578947368,0.842105263158,0.842105263158,3.20546136842,39
ASAS,0.0,0.0526315789474,0.736842105263,2.68254157895,20
ASAS,0.025,0.13125,0.860714285714,2.86664591964,1121
Stripe82,0.0,0.0,0.166666666667,63.9168293333,13
OGLE-III,0.0,0.0,0.455598455598,6.56621166023,260
Kepler,0.0,0.989898989899,1.0,0.0206404536566,100
SuperWASP,0.947368421053,0.947368421053,1.0,0.0392626315894,20
OGLE-I,0.0,0.0,0.780487804878,8.48721780488,42
Kepler,0.0,0.99358974359,1.0,0.0205653231282,157
ASAS,0.0,0.0,0.368421052632,19.8686052632,39
SuperWASP,0.979797979798,0.979797979798,0.989898989899,0.0612264646481,100
Hipparcos,0.0,0.425925925926,0.740740740741,19.9358896296,55
Kepler,0.0,0.971014492754,1.0,0.0210269132464,70
Kepler,0.0,0.993333333333,1.0,0.0205689205933,151
Hipparcos,0.0,0.4375,0.8125,15.936915,17
LINEAR,0.0261780104712,0.774869109948,0.785340314136,10.2713761257,192
