U AQL     2447774.2488  6.786   .887  1.249   .662               991
U AQL     2447775.1209  6.619   .671  1.107   .634               991
U AQL     2447775.2141  6.541   .659  1.093   .603               991
U AQL     2447776.1252  6.050   .465   .885   .500               991
U AQL     2447776.2174  6.036   .475   .870   .520               991
U AQL     2448101.1701  6.324   .683   .987   .601               992
U AQL     2448102.1931  6.430   .773  1.076   .621               992
U AQL     2448103.1727  6.617   .870  1.137   .642               992
U AQL     2448104.1774  6.768   .920  1.210   .676               992
U AQL     2448108.1762  6.337   .704  1.039   .581               992
U AQL     2448109.1633  6.417   .749  1.073   .608               992
U AQL     2448110.1715  6.651   .841  1.159   .654               992
U AQL     2448111.1749  6.779   .898  1.216   .657               992
U AQL     2448112.1723  6.666   .734  1.082   .636               992
U AQL     2448113.1651  6.105   .582   .844   .516               992
U AQL     2448114.1738  6.137   .626   .901   .522               992
U AQL     2448115.2287  6.353   .716  1.001   .594               992
U AQL     2448116.1745  6.406                 .624               992
U AQL     2448117.1779  6.621   .818          .672               992
U AQL     2448118.1769  6.804   .903  1.223   .667               992
U AQL     2448119.1634  6.729   .726  1.110   .640               992
U AQL     2448123.1484  6.389   .768  1.061   .601               992
U AQL     2448127.1567  6.138   .631   .858   .524               992
U AQL     2448503.2050  6.597   .866  1.202   .643               993
U AQL     2448504.1376  6.751   .881  1.239   .673               993
U AQL     2448505.1358  6.818   .818  1.176   .674               993
U AQL     2448506.1394  6.370   .556  1.005   .584               993
U AQL     2448507.1236  6.103   .506   .912   .519               993
U AQL     2448508.1236  6.297   .612  1.032   .582               993
U AQL     2448509.1228  6.358   .648  1.092   .598               993
U AQL     2448510.1237  6.603   .805  1.181   .646               993
U AQL     2448511.1225  6.756   .891  1.258   .667               993
U AQL     2448512.1226  6.825   .837  1.216   .669               993
U AQL     2448513.1205  6.404   .568  1.008   .578               993
U AQL     2448514.1206  6.112   .506   .885   .520               993
U AQL     2448515.1147  6.250   .629  1.010   .568               993
U AQL     2448516.1179  6.316   .668  1.069   .596               993
U AQL     2448517.1163  6.600   .810  1.152   .668               993
U AQL     2448518.1232  6.763   .903  1.239   .677               993
U AQL     2448519.1318  6.801   .822  1.227   .654               993
U AQL     2448520.1111  6.411   .577   .997   .584               993
U AQL     2448521.1174  6.089   .527   .874   .520               993
U AQL     2448522.1160  6.279   .642   .999   .581               993
U AQL     2448523.1072  6.357   .652  1.081   .592               993
U AQL     2448854.1815  6.561   .795  1.189   .667               994
U AQL     2448856.1656  6.801   .822  1.254   .670               994
U AQL     2448858.1623  6.061   .499   .878   .523               994
U AQL     2448860.1542  6.325   .641  1.105   .603               994
U AQL     2448870.1365  6.812   .865  1.254   .657               994
U AQL     2448872.1383  6.110   .471   .895   .528               994
U AQL     2448874.1349  6.337   .598  1.092   .594               994
U AQL     2448876.1296  6.724   .853  1.235   .677               994
U AQL     2448877.1234  6.890   .849  1.251   .684               994
U AQL     2448880.1231  6.230   .563  1.011   .564               994
U AQL     2448881.1152  6.335   .625  1.113   .604               994
U AQL     2448882.1177  6.570   .755  1.188   .646               994
U AQL     2448883.1169  6.706   .872  1.221   .677               994
U AQL     2448884.1136  6.852   .862  1.256   .682               994
U AQL     2448885.1106  6.526   .624  1.090   .616               994
U AQL     2448886.1120  6.097   .468   .881   .505               994
U AQL     2448888.1096  6.357   .621  1.080   .603               994
U AQL     2448889.1098  6.538   .760  1.179   .638               994
U AQL     2448890.1070  6.715   .848  1.228   .681               994
U AQL     2448891.1043  6.843   .849  1.257   .682               994
U AQL     2448892.1030  6.542   .605  1.069   .608               994
U AQL     2448893.1028  6.082   .464   .890   .504               994
U AQL     2448894.1016  6.199   .512   .976   .566               994
U AQL     2449521.9006  6.604         1.204                      996
U AQL     2449522.8230                1.252                      996
U AQL     2449528.8639  6.652         1.245   .696          .716 996
U AQL     2449529.8050  6.747         1.259   .704          .642 996
U AQL     2449530.8107  6.669   .901  1.213   .685          .637 996
U AQL     2449534.8110  6.332         1.109   .661          .608 996
U AQL     2449543.8130          .779  1.289   .748          .655 996
U AQL     2449545.7690  6.289   .738   .993   .620          .561 996
U AQL     2449558.8536  6.745   .820  1.197   .649          .632 996
U AQL     2449559.8467                 .956                      996
U AQL     2449561.8304  6.297   .722  1.013   .572          .564 996
U AQL     2449564.8376  6.749         1.225                      996
U AQL     2449619.2059  6.490   .827  1.098   .629               995
U AQL     2449620.1988  6.629   .854  1.193   .663               995
U AQL     2449621.1022  6.802   .967  1.208   .691               995
U AQL     2449621.1936  6.806   .960  1.230   .665               995
U AQL     2449622.1007  6.753   .741  1.184   .656               995
U AQL     2449623.0948  6.334   .611   .957   .560               995
U AQL     2449624.1006  6.155   .617   .913   .534               995
U AQL     2449625.0974  6.350   .689  1.042   .604               995
U AQL     2449631.0958  6.137   .621   .911   .539               995
U AQL     2449632.1054  6.367   .684  1.041   .610               995
U AQL     2449633.0974  6.370   .733  1.074   .631               995
U AQL     2449634.1005  6.644   .940  1.219   .658               995
U AQL     2449808.9166  6.437         1.072   .611          .608 997
U AQL     2449809.9044  6.643         1.187   .648          .633 997
U AQL     2449810.8994  6.780         1.236   .662               997
U AQL     2449811.9138  6.740         1.129   .635          .630 997
U AQL     2449813.9168  6.143          .886   .533          .531 997
U AQL     2449814.8824  6.339         1.023   .589          .578 997
U AQL     2449817.9124  6.796         1.216   .680          .634 997
U AQL     2449818.9179  6.738         1.134   .643          .603 997
U AQL     2449821.9066  6.319         1.024   .590          .570 997
U AQL     2449822.9064  6.378         1.065   .605          .607 997
U AQL     2449823.9053  6.637         1.179   .665          .634 997
U AQL     2449825.9050  6.753         1.144   .641          .636 997
U AQL     2449934.1714  6.295         1.093   .584  1.138        998
U AQL     2449935.1671  6.449         1.095   .659  1.165        998
U AQL     2449936.1614  6.627         1.200   .661  1.244        998
U AQL     2449937.2264  6.804         1.246   .686               998
U AQL     2449938.1641  6.876         1.218   .660  1.253        998
U AQL     2449939.1666  6.321          .990   .561  1.108        998
U AQL     2449942.1614  6.371         1.084   .624  1.176        998
U AQL     2449943.1550  6.548         1.203   .649  1.242        998
U AQL     2449944.1555  6.820         1.254   .636  1.262        998
U AQL     2449945.1565  6.805         1.216   .677  1.286        998
U AQL     2449946.1555  6.395          .996   .552  1.084        998
U AQL     2449947.1550  6.130          .906   .535  1.034        998
U AQL     2449948.1512  6.332         1.057   .584  1.138        998
U AQL     2449949.1574  6.330         1.068   .603  1.175        998
U AQL     2449950.1536                1.212   .685               998
U AQL     2449952.1527  6.813         1.210   .660  1.276        998
U AQL     2449953.1769  6.403          .984   .565  1.093        998
U AQL     2449954.1644  6.143          .906   .519  1.015        998
U AQL     2449955.1570                        .598  1.132        998
U AQL     2449958.1432  6.813         1.251   .675  1.312        998
U AQL     2449959.1386  6.874         1.217   .677  1.313        998
U AQL     2449962.1514  6.330         1.046   .587  1.142        998
U AQL     2450009.0938  6.426         1.051   .583  1.128        998
U AQL     2450011.0905  6.250         1.002   .570  1.085        998
U AQL     2450012.1294  6.308                       1.158        998
U AQL     2450017.0777  6.095          .866   .514  1.028        998
U AQL     2450018.1206  6.236          .993   .595  1.080        998
U AQL     2450020.0707  6.533         1.162   .642  1.249        998
U AQL     2450305.1716  6.090          .851   .532               971
U AQL     2450306.1633  6.246          .966   .582               971
U AQL     2450307.1849  6.372         1.045   .599               971
U AQL     2450310.2163  6.820         1.183   .664               971
U AQL     2450311.1559  6.406         1.025   .587               971
U AQL     2450312.1507  6.032          .877   .521               971
U AQL     2450313.1568  6.239         1.007   .578               971
U AQL     2450314.1411  6.325         1.039   .603               971
U AQL     2450315.1424  6.580         1.117   .683               971
U AQL     2450316.1420  6.699         1.184   .675               971
U AQL     2450317.1715  6.824         1.155   .621               971
U AQL     2450318.1426  6.455          .999   .605               971
U AQL     2450319.1408  6.088          .815   .545               971
U AQL     2450320.1420  6.229          .951   .588               971
U AQL     2450321.1367  6.348         1.004   .624               971
U AQL     2450322.1317  6.568         1.100   .666               971
U AQL     2450324.1372  6.815         1.148   .682               971
U AQL     2450325.1281  6.502         1.002   .612               971
U AQL     2450326.1244  6.061          .854   .513               971
SZ AQL    2445502.3359  8.927  1.171  1.535   .848               982
SZ AQL    2445503.3242  8.518   .879  1.298   .762               982
SZ AQL    2445505.3163  8.126   .847  1.205   .699               982
SZ AQL    2445508.3046  8.425  1.097  1.474   .807               982
SZ AQL    2445509.3320  8.523  1.196  1.541   .834               982
SZ AQL    2445512.3397  8.890         1.731   .898               982
SZ AQL    2445513.3905  9.012         1.791   .912               982
SZ AQL    2445514.3359  9.116         1.775   .930               982
SZ AQL    2445648.1093  8.697  1.418  1.641   .878               982
SZ AQL    2445650.1171  8.955  1.598  1.773   .921               982
SZ AQL    2445872.3593  8.872  1.620  1.714   .897               982
SZ AQL    2445873.3593  8.991  1.687  1.740   .918               982
SZ AQL    2445874.3476  9.087  1.747  1.767   .920               982
SZ AQL    2445875.3397  9.171         1.759   .935               982
SZ AQL    2445876.3554  9.152  1.616  1.726   .916               982
SZ AQL    2445877.3397  9.059  1.452  1.666   .895               982
SZ AQL    2445878.3437  8.941  1.238  1.577   .862               982
SZ AQL    2445879.3320  8.922  1.213  1.518   .838               982
SZ AQL    2445880.3437  8.544   .969  1.344   .761               982
SZ AQL    2445881.3359  7.962   .823  1.086   .654               982
SZ AQL    2445882.3280  8.128   .885  1.220   .693               982
SZ AQL    2445883.3437  8.234   .979  1.293   .733               982
SZ AQL    2445886.3476  8.544  1.327  1.540   .837               982
SZ AQL    2445887.3554  8.647  1.410  1.596   .857               982
SZ AQL    2447399.2436  9.054  1.716  1.778   .903               990
SZ AQL    2447400.2285  9.151  1.744  1.782   .924               990
SZ AQL    2447402.2003  9.150  1.520  1.699   .887               990
SZ AQL    2447403.1935  9.031         1.588   .861               990
SZ AQL    2447404.1955  8.896         1.502   .824               990
SZ AQL    2447407.2101  8.058   .730  1.164   .669               990
SZ AQL    2447408.1795  8.146   .818  1.249   .688               990
SZ AQL    2447409.1954  8.253         1.321   .738               990
SZ AQL    2447410.2033  8.372  1.030  1.428   .770               990
SZ AQL    2447411.2247  8.479  1.151  1.500   .813               990
SZ AQL    2447413.1877  8.652         1.625   .850               990
SZ AQL    2447414.1741  8.781  1.473  1.678   .875               990
SZ AQL    2447415.1752  8.903  1.573  1.745   .889               990
SZ AQL    2447416.1826  8.999  1.654  1.799   .884               990
SZ AQL    2447417.1765  9.090         1.777   .905               990
SZ AQL    2447418.1795  9.152         1.775   .896               990
SZ AQL    2447420.1618  9.020         1.642   .858               990
SZ AQL    2447421.1543  8.884         1.534   .839               990
SZ AQL    2447422.1583  8.911         1.517   .816               990
SZ AQL    2447423.1468  8.309   .798  1.234   .694               990
SZ AQL    2447424.1528  7.973   .725  1.130   .641               990
SZ AQL    2447425.1593  8.131   .809  1.225   .682               990
SZ AQL    2447427.1659  8.357  1.028  1.397   .762               990
SZ AQL    2447428.1486  8.441  1.149  1.481   .793               990
SZ AQL    2447429.1451  8.546  1.220  1.588   .821               990
SZ AQL    2447430.1311  8.655  1.368  1.596   .849               990
SZ AQL    2447431.1347  8.763  1.446  1.664   .866               990
SZ AQL    2447432.1282  8.875         1.725   .882               990
SZ AQL    2447433.1331  9.027         1.761   .909               990
SZ AQL    2447434.1374  9.123         1.766   .913               990
SZ AQL    2448503.2163  8.027   .676  1.108   .629               993
SZ AQL    2448504.1802  8.055         1.152   .674               993
SZ AQL    2448505.1652  8.168   .832  1.243   .703               993
SZ AQL    2448506.2282  8.273         1.337   .742               993
SZ AQL    2448507.2013  8.372         1.426   .784               993
SZ AQL    2448508.1821  8.461         1.508   .806               993
SZ AQL    2448509.1893  8.580         1.571   .846               993
SZ AQL    2448510.1838  8.682         1.622   .861               993
SZ AQL    2448511.1896  8.830         1.676   .866               993
SZ AQL    2448512.1947  8.932         1.734   .892               993
SZ AQL    2448513.2040  9.061         1.743   .921               993
SZ AQL    2448514.2053  9.156         1.776   .904               993
SZ AQL    2448515.2008  9.197         1.710   .932               993
SZ AQL    2448516.1954  9.131         1.698   .884               993
SZ AQL    2448517.1820  9.025         1.589   .862               993
SZ AQL    2448518.1942  8.902         1.515   .840               993
SZ AQL    2448519.2140  8.869         1.525   .822               993
SZ AQL    2448520.1849  8.180         1.173   .650               993
SZ AQL    2448521.2064  7.996         1.175   .639               993
SZ AQL    2448522.1924  8.144         1.244   .698               993
SZ AQL    2448523.1869  8.279         1.315   .732               993
SZ AQL    2448856.2467  9.092         1.776   .935               994
SZ AQL    2448858.2606  9.185         1.794   .925               994
SZ AQL    2448860.2449  8.997         1.638   .866               994
SZ AQL    2448862.2716  8.807         1.477   .795               994
SZ AQL    2448870.2285  8.684         1.673   .845               994
SZ AQL    2448872.2296  8.924         1.735   .902               994
SZ AQL    2448874.2241  9.143         1.797   .920               994
SZ AQL    2448876.2202  9.155         1.733   .907               994
SZ AQL    2448877.1985  9.033         1.641   .878               994
SZ AQL    2448878.2130  8.885         1.561   .851               994
SZ AQL    2448880.1516  8.154         1.187   .676               994
SZ AQL    2448881.1472  8.031         1.177   .657               994
SZ AQL    2448882.1568  8.175         1.268   .711               994
SZ AQL    2448883.1659  8.260         1.346   .744               994
SZ AQL    2448884.1719  8.360         1.430   .779               994
SZ AQL    2448885.1599  8.447         1.536   .803               994
SZ AQL    2448886.1599  8.571         1.587   .824               994
SZ AQL    2448888.1616  8.795         1.696   .886               994
SZ AQL    2448889.1740  8.950         1.730   .912               994
SZ AQL    2448890.1522  9.045         1.777   .941               994
SZ AQL    2448891.1508  9.130         1.787   .920               994
SZ AQL    2448892.1614  9.205         1.773   .940               994
SZ AQL    2448893.1514  9.168         1.735   .919               994
SZ AQL    2448894.1835  9.056         1.663   .880               994
SZ AQL    2449521.8687  8.748         1.673                      996
SZ AQL    2449522.7907  8.830         1.693                      996
SZ AQL    2449528.8491  9.012         1.627   .849          .793 996
SZ AQL    2449529.7535  8.984         1.511   .832          .793 996
SZ AQL    2449530.7899  8.764  1.250  1.463   .804          .775 996
SZ AQL    2449534.7786  8.333         1.354   .733          .729 996
SZ AQL    2449543.7907  9.228  1.732  1.766   .927          .839 996
SZ AQL    2449545.7283  9.005  1.448  1.642   .856          .796 996
SZ AQL    2449561.7820  9.148  1.993  1.714   .908          .827 996
SZ AQL    2449617.1148  8.170         1.171   .675               995
SZ AQL    2449619.2375  8.222         1.239   .721               995
SZ AQL    2449620.2166  8.266         1.298   .737               995
SZ AQL    2449621.2076  8.372         1.414   .789               995
SZ AQL    2449623.1848  8.580  1.354  1.565   .836               995
SZ AQL    2449624.1957  8.706         1.629   .856               995
SZ AQL    2449625.1991  8.817  1.678  1.679   .878               995
SZ AQL    2449626.2198  8.935         1.744   .894               995
SZ AQL    2449631.1854  9.085         1.672   .858               995
SZ AQL    2449632.2056  8.934         1.567   .851               995
SZ AQL    2449633.1847  8.955         1.525   .829               995
SZ AQL    2449634.1867  8.369         1.234   .712               995
SZ AQL    2449934.3203  8.905         1.738   .926  1.729        998
SZ AQL    2449935.3292  9.017         1.736   .964  1.771        998
SZ AQL    2449936.3037  9.140         1.792   .978  1.801        998
SZ AQL    2449937.2722  9.188         1.793   .944               998
SZ AQL    2449938.2911  9.225                 .937  1.783        998
SZ AQL    2449941.2867  8.890                       1.651        998
SZ AQL    2449942.2613  8.802                       1.554        998
SZ AQL    2449943.2514  7.949                 .637  1.255        998
SZ AQL    2449944.2624  8.165                       1.364        998
SZ AQL    2449945.2586  8.245                       1.431        998
SZ AQL    2449946.2380  8.315                       1.484        998
SZ AQL    2449947.2338  8.430                       1.552        998
SZ AQL    2449948.2304  8.544                       1.600        998
SZ AQL    2449949.2326  8.679                       1.648        998
SZ AQL    2449950.2299  8.747                       1.695        998
SZ AQL    2449952.2353  9.000                       1.766        998
SZ AQL    2449953.2564  9.121                       1.761        998
SZ AQL    2449954.2333  9.179                       1.780        998
SZ AQL    2449955.2304  9.191                       1.773        998
SZ AQL    2450305.2764  8.220         1.266   .738               971
SZ AQL    2450306.2986  8.305         1.337   .778               971
SZ AQL    2450307.2514  8.448         1.359   .815               971
SZ AQL    2450310.2574  8.726         1.606   .873               971
SZ AQL    2450311.1845  8.838         1.666   .891               971
SZ AQL    2450312.1853  8.940         1.700   .911               971
SZ AQL    2450313.2076  9.058         1.724   .913               971
SZ AQL    2450314.1815  9.130         1.751   .928               971
SZ AQL    2450315.1883  9.166         1.702   .920               971
SZ AQL    2450316.1989  9.135         1.636   .869               971
SZ AQL    2450317.2061  9.003         1.565   .869               971
SZ AQL    2450318.1926  8.921         1.492   .860               971
SZ AQL    2450319.1865  8.855         1.451   .816               971
SZ AQL    2450320.1993  7.981         1.070   .642               971
SZ AQL    2450321.1802  8.078         1.155   .678               971
SZ AQL    2450322.1792  8.181         1.218   .719               971
SZ AQL    2450323.1773  8.295         1.322   .755               971
SZ AQL    2450324.1960  8.396         1.384   .809               971
SZ AQL    2450325.1692  8.477         1.474   .823               971
SZ AQL    2450326.1567  8.586         1.535   .847               971
TT AQL    2445502.3320  6.794   .754  1.058   .638               982
TT AQL    2445503.3280  6.640   .715  1.049   .629               982
TT AQL    2445505.3203  6.861   .896  1.267   .705               982
TT AQL    2445508.3085  7.217  1.208  1.510   .795               982
TT AQL    2445509.3397  7.373  1.336  1.541   .826               982
TT AQL    2445512.3437  7.648  1.316  1.583   .835               982
TT AQL    2445513.3945  7.486  1.107  1.465   .790               982
TT AQL    2445514.3397  7.328   .944  1.363   .761               982
TT AQL    2445650.1328  7.649  1.288  1.553   .837               982
TT AQL    2445872.3631  7.326  1.005  1.348   .747               982
TT AQL    2445873.3593  7.135   .896  1.212   .710               982
TT AQL    2445874.3514  6.541   .728   .996   .587               982
TT AQL    2445875.3397  6.749   .812  1.095   .662               982
TT AQL    2445876.3593  6.844   .899  1.214   .689               982
TT AQL    2445877.3437  6.946  1.002  1.320   .734               982
TT AQL    2445878.3437  7.061  1.118  1.416   .754               982
TT AQL    2445879.3359  7.178  1.233  1.469   .779               982
TT AQL    2445880.3437  7.302  1.344  1.536   .809               982
TT AQL    2445881.3359  7.484  1.445  1.561   .849               982
TT AQL    2445882.3320  7.603  1.481  1.611   .845               982
TT AQL    2445883.3437  7.659  1.472  1.589   .835               982
TT AQL    2445886.3514  7.351  1.015  1.347   .752               982
TT AQL    2445887.3554  6.942   .789  1.129   .661               982
TT AQL    2447399.2573  7.326   .961  1.363   .724               990
TT AQL    2447400.2312  7.125   .753  1.246   .697               990
TT AQL    2447401.2176  6.520   .642   .993   .577               990
TT AQL    2447402.2040  6.710   .719  1.119   .622               990
TT AQL    2447403.1945  6.835         1.180   .667               990
TT AQL    2447404.1960  6.936   .951  1.303   .692               990
TT AQL    2447407.2124  7.323  1.333  1.529   .797               990
TT AQL    2447408.1804  7.428  1.400  1.584   .800               990
TT AQL    2447409.1955  7.568         1.600   .832               990
TT AQL    2447410.2035  7.633  1.419  1.601   .828               990
TT AQL    2447411.2282  7.579  1.262  1.519   .806               990
TT AQL    2447413.1881  7.295   .957  1.351   .740               990
TT AQL    2447414.1748  6.947   .729  1.170   .650               990
TT AQL    2447415.1783  6.584   .643  1.066   .594               990
TT AQL    2447416.1830  6.713   .761  1.149   .632               990
TT AQL    2447417.1777  6.812   .836  1.255   .669               990
TT AQL    2447418.1799  6.945   .969  1.345   .708               990
TT AQL    2447419.1578  7.042  1.120  1.402   .727               990
TT AQL    2447420.1629  7.185  1.220  1.494   .771               990
TT AQL    2447421.1548  7.306  1.373  1.533   .791               990
TT AQL    2447422.1602  7.471  1.431  1.584   .801               990
TT AQL    2447423.1497  7.569  1.471  1.616   .815               990
TT AQL    2447424.1544  7.621  1.449  1.566   .836               990
TT AQL    2447425.1604  7.534  1.238  1.493   .797               990
TT AQL    2447427.1679  7.320   .945  1.324   .727               990
TT AQL    2447428.1511  6.741   .672  1.075   .602               990
TT AQL    2447429.1476  6.644   .642  1.094   .611               990
TT AQL    2447430.1327  6.730   .743  1.145   .640               990
TT AQL    2447431.1367  6.852   .851  1.260   .685               990
TT AQL    2447432.1295  6.965                                    990
TT AQL    2447433.1344  7.117  1.129  1.441   .765               990
TT AQL    2447434.1389  7.217  1.268  1.491   .780               990
TT AQL    2448503.2201  6.758   .753  1.185   .652               993
TT AQL    2448504.1809  6.891   .883  1.267   .709               993
TT AQL    2448505.1720  6.999  1.050  1.367   .742               993
TT AQL    2448506.2288  7.130  1.154  1.442   .765               993
TT AQL    2448507.2021  7.261  1.272  1.521   .800               993
TT AQL    2448508.1839  7.396  1.359  1.563   .809               993
TT AQL    2448509.1908  7.589  1.414  1.578   .834               993
TT AQL    2448510.1849  7.618  1.458  1.607   .839               993
TT AQL    2448511.1902  7.608  1.326  1.574   .818               993
TT AQL    2448512.1951  7.459  1.125  1.459   .786               993
TT AQL    2448513.2048  7.334   .930  1.333   .760               993
