% date = 2008-04-15 12:18:55.777518
%% 
@RELATION ts

@ATTRIBUTE distance_in_kpc_to_nearest_galaxy NUMERIC
@ATTRIBUTE beyond1std NUMERIC
@ATTRIBUTE ratio21 NUMERIC
@ATTRIBUTE chi2 NUMERIC
@ATTRIBUTE std NUMERIC
@ATTRIBUTE ecpb NUMERIC
@ATTRIBUTE old_dc NUMERIC
@ATTRIBUTE skew NUMERIC
@ATTRIBUTE third NUMERIC
@ATTRIBUTE example NUMERIC
@ATTRIBUTE max_slope NUMERIC
@ATTRIBUTE n_points NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE ratio32 NUMERIC
@ATTRIBUTE ratio31 NUMERIC
@ATTRIBUTE weighted_average NUMERIC
@ATTRIBUTE first_freq NUMERIC
@ATTRIBUTE galb NUMERIC
@ATTRIBUTE gall NUMERIC
@ATTRIBUTE chi2_per_deg NUMERIC
@ATTRIBUTE distance_in_arcmin_to_nearest_galaxy NUMERIC
@ATTRIBUTE ecpl NUMERIC
@ATTRIBUTE wei_av_uncertainty NUMERIC
@ATTRIBUTE second NUMERIC
@ATTRIBUTE ratioRUfirst NUMERIC
@ATTRIBUTE dc NUMERIC
@ATTRIBUTE class {'GCVS:Pulsating:CEP:CEP(B)','GCVS:Pulsating:CEP','GCVS:Pulsating:RR:RRC','GCVS:Pulsating:RR:RRAB','GCVS:Pulsating:RR:RR(B)'}

@data
18.818,0.0,?,82635.2784559,0.401108046197,16.334155567,11.4245517857,-0.975263481226,?,55.0393712981,7.0,56.0,11.62395,?,?,11.3659263703,0.00667168910755,-28.4383017728,49.1426591464,1502.45960829,4.1,317.741508627,12.0930682533,?,?,9.99999335625,'GCVS:Pulsating:RR:RRAB'
1000.0,0.0,?,12883.0409327,0.0517305212715,51.954970747,5.99716932515,-0.329036536146,?,162.87695153,104.0,163.0,6.0017,?,?,5.99484490166,0.0146905607497,-5.33621240887,81.2036875673,79.524944029,100.0,334.995432611,156.838143036,?,?,5.99484490166,'GCVS:Pulsating:CEP'
1000.0,0.0,?,99398.2931751,0.196519646066,1.76035167294,11.4107626667,-0.118331833945,?,74.9104723224,49.0,75.0,11.4244,?,?,11.399160595,0.0115446082643,-35.4597768061,33.2275065434,1343.22017804,100.0,313.379762531,8.44416297235,?,?,9.99999335625,'GCVS:Pulsating:RR:RRC'
1000.0,0.0,?,89627.6889369,0.411827929451,19.2420705743,11.9152867925,-0.670251728452,?,52.091048568,18.0,53.0,12.1232,?,?,11.8707205284,0.0169258619683,-27.0588969348,52.372014864,1723.60940263,100.0,319.075763163,8.27821422363,?,?,9.99999335625,'GCVS:Pulsating:RR:RRAB'
1000.0,0.0,?,45541.4898445,0.182014778825,63.2291665228,10.5929009524,0.190011359217,?,104.964337281,3.0,105.0,10.5965,?,?,10.5827050393,0.00688426741927,3.44238834235,91.5062922369,437.898940813,100.0,349.161764284,10.1621885289,?,?,9.99999335625,'GCVS:Pulsating:CEP'
1000.0,0.0,?,143655.846528,0.300443472119,39.5502704198,11.281425,-0.31760214468,?,123.081641092,120.0,124.0,11.3656,?,?,11.2544490144,0.0196746952417,-14.3007775703,70.9920393324,1167.93371161,100.0,327.415078249,5.32022430066,?,?,9.99999335625,'GCVS:Pulsating:RR:RRAB'
1000.0,0.0,?,14520.9408136,0.180423148818,56.0411624839,9.25602442748,-0.991363386564,?,130.281097227,75.0,131.0,9.3071,?,?,9.24040949709,0.0113720811784,-2.40649492349,85.157718218,111.69954472,100.0,339.645017162,15.661952419,?,?,9.24040949709,'GCVS:Pulsating:CEP'
20.77,0.0,?,136256.835736,0.363660477824,-61.0928940456,12.02637,-0.467765148674,?,99.3426372982,50.0,100.0,12.10595,?,?,11.9606720104,0.0183703304351,-30.887345305,309.985392228,1376.3316741,31.0,280.761329667,2.99413747882,?,?,9.99999335625,'GCVS:Pulsating:RR:RRAB'
1000.0,0.0,?,18807.4218806,0.128162860192,69.4821425008,7.98672393162,-0.629900337676,?,116.379597225,113.0,117.0,8.0293,?,?,7.97518953109,0.0517102017802,9.4022503713,98.6393074268,162.132947247,100.0,6.38281789578,66.0807506773,?,?,7.97518953109,'GCVS:Pulsating:CEP'
3.33,0.0,0.0,46732.5105344,0.361876320519,-22.7831569526,10.4009706422,-0.856749488019,0.0,107.529573564,74.0,109.0,10.5432,0.0,0.0,10.362314761,0.0269677741321,-78.2881545195,40.8022326291,432.708430874,3.7,349.55885827,12.9927500455,0.0,0.0,9.99999335625,'GCVS:Pulsating:RR:RRAB'
